slug,question,signal,zone,entry_price,half_spread,resolution,resolution_price,pnl_gross,pnl_net,win
will-john-cowan-win-the-ga-14-special-election,Will John Cowan win the GA-14 special election?,sell,longshot,0.0565,0.0100,NO,0.0155,0.041000,0.031000,1
will-colton-moore-win-the-ga-14-special-election,Will Colton Moore win the GA-14 special election?,sell,longshot,0.1010,0.0100,NO,0.0783,0.022746,0.012746,1
will-justin-tucker-sign-with-an-nfl-team-this-year,Will Justin Tucker sign with an NFL team this year?,sell,longshot,0.3650,0.0100,NO,0.0206,0.344351,0.334351,1
israel-and-syria-normalize-relations-by-june-30-2026,"Israel and Syria normalize relations by June 30, 2026?",sell,longshot,0.1479,0.0100,NO,0.0550,0.092941,0.082941,1
sam-altman-in-jail-by-june-30,Sam Altman in jail by June 30?,sell,longshot,0.0465,0.0100,NO,0.0158,0.030756,0.020756,1
israel-x-hamas-ceasefire-cancelled-by-march-31-2026-824,"Israel x Hamas ceasefire cancelled by March 31, 2026?",sell,longshot,0.2950,0.0100,NO,0.0550,0.240000,0.230000,1
will-evelyn-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,Will Evelyn rank #1 among girl names on the SSA’s official list for 2025,sell,longshot,0.0221,0.0100,NO,0.0015,0.020567,0.010567,1
will-isabella-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,Will Isabella rank #1 among girl names on the SSA’s official list for 20,sell,longshot,0.0215,0.0100,NO,0.0005,0.021042,0.011042,1
will-mia-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,Will Mia rank #1 among girl names on the SSA’s official list for 2025?,sell,longshot,0.0200,0.0100,NO,0.0055,0.014500,0.004500,1
will-charlotte-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,Will Charlotte rank #1 among girl names on the SSA’s official list for 2,sell,longshot,0.0205,0.0100,NO,0.0110,0.009500,-0.000500,0
will-amelia-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,Will Amelia rank #1 among girl names on the SSA’s official list for 2025,sell,longshot,0.0395,0.0100,NO,0.0285,0.011000,0.001000,1
will-emma-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,Will Emma rank #1 among girl names on the SSA’s official list for 2025?,sell,longshot,0.0310,0.0100,NO,0.0684,-0.037386,-0.047386,0
will-oliver-rank-1-among-boy-names-on-the-ssas-official-list-for-2025,Will Oliver rank #1 among boy names on the SSA’s official list for 2025?,sell,longshot,0.0237,0.0100,NO,0.0015,0.022208,0.012208,1
will-noah-rank-1-among-boy-names-on-the-ssas-official-list-for-2025,Will Noah rank #1 among boy names on the SSA’s official list for 2025?,sell,longshot,0.0555,0.0100,NO,0.0800,-0.024500,-0.034500,0
will-any-country-leave-nato-by-june-30-2026,"Will any country leave NATO by June 30, 2026?",sell,longshot,0.0600,0.0100,NO,0.0405,0.019500,0.009500,1
ukraine-recognizes-russian-sovereignty-over-its-territory-by-june-30-2026,"Ukraine recognizes Russian sovereignty over its territory by June 30, 20",sell,longshot,0.1750,0.0100,NO,0.0550,0.120000,0.110000,1
will-russia-invade-a-nato-country-by-june-30-2026,"Will Russia invade a NATO country by June 30, 2026?",sell,longshot,0.0700,0.0100,NO,0.0460,0.024000,0.014000,1
natoeu-troops-fighting-in-ukraine-in-june-30-2026,"NATO/EU troops fighting in Ukraine in June 30, 2026?",sell,longshot,0.0556,0.0100,NO,0.0220,0.033554,0.023554,1
will-gpt-6-be-released-by-march-31-2026,"Will GPT-6 be released by March 31, 2026?",sell,longshot,0.2700,0.0100,NO,0.0385,0.231500,0.221500,1
will-harvey-weinstein-be-sentenced-to-more-than-30-years-in-prison,Will Harvey Weinstein be sentenced to more than 30 years in prison?,sell,longshot,0.1171,0.0100,NO,0.0639,0.053219,0.043219,1
will-harvey-weinstein-be-sentenced-to-between-5-and-10-years-in-prison,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,sell,longshot,0.1255,0.0100,NO,0.0476,0.077949,0.067949,1
will-harvey-weinstein-be-sentenced-to-less-than-5-years-in-prison,Will Harvey Weinstein be sentenced to less than 5 years in prison?,sell,longshot,0.0234,0.0100,NO,0.0484,-0.024984,-0.034984,0
will-trump-deport-750000-or-more-people-in-2025,"Will Trump deport 750,000 or more people in 2025?",sell,longshot,0.0368,0.0100,NO,0.0160,0.020784,0.010784,1
will-trump-deport-2000000-or-more-people,"Will Trump deport 2,000,000 or more people?",sell,longshot,0.0251,0.0100,NO,0.0025,0.022583,0.012583,1
will-trump-deport-1750000-2000000-people,"Will Trump deport 1,750,000-2,000,000 people?",sell,longshot,0.0283,0.0100,NO,0.0025,0.025767,0.015767,1
will-trump-deport-1000000-1250000-people,"Will Trump deport 1,000,000-1,250,000 people?",sell,longshot,0.0254,0.0100,NO,0.0024,0.022928,0.012928,1
will-trump-deport-750000-1000000-people,"Will Trump deport 750,000-1,000,000 people?",sell,longshot,0.0200,0.0100,NO,0.0050,0.015000,0.005000,1
will-trump-deport-500000-750000-people,"Will Trump deport 500,000-750,000- people?",sell,longshot,0.1202,0.0100,NO,0.0211,0.099157,0.089157,1
will-trump-deport-less-than-250000,"Will Trump deport less than 250,000?",sell,longshot,0.0350,0.0100,NO,0.0270,0.007956,-0.002044,0
will-jd-vances-remarks-not-air,Will JD Vance's remarks not air?,sell,longshot,0.3966,0.0100,NO,0.0043,0.392307,0.382307,1
will-jd-vance-say-crypto-or-bitcoin-in-wisconsin-on-thursday,"Will JD Vance say ""Crypto"" or ""Bitcoin"" in Wisconsin on Thursday?",sell,longshot,0.2350,0.0100,NO,0.0268,0.208175,0.198175,1
will-jd-vance-say-six-seven-in-wisconsin-on-thursday,"Will JD Vance say ""Six Seven"" in Wisconsin on Thursday?",sell,longshot,0.3730,0.0100,NO,0.0565,0.316544,0.306544,1
